goalie,games_played,goals_allowed,xg_faced
Adam Zhang,17,49,47.1502
Alejandro Johnson,26,66,78.1674
Alejandro Peters,22,67,66.6796
Andre Allen,28,81,94.1554
Andrew Fisher,30,90,85.1665
Antonio Reyes,31,100,103.5625
Brett Payne,12,37,36.5322
Carl Carter,13,40,40.5955
Christopher Kent,25,61,77.9007
Christopher Serrano,14,64,51.929
Clinton Cline,17,69,51.769
Corey Orozco,19,71,61.2029
Daniel Meza,14,44,46.1359
Daniel Romero,11,34,31.8701
Darren Campbell,17,64,52.9977
David Johnson,25,69,72.9743
Derrick Macdonald,11,33,33.0194
Derrick Luna,16,39,40.155
Donald Walker,20,75,63.8393
Dylan Kerr,27,85,85.6013
Edward Hicks,21,63,66.9215
Eugene Ruiz,30,82,91.2709
Gabriel Cole,12,46,37.0315
Gary Pratt,17,42,46.7138
Gary Ross,22,72,65.8861
Gary Washington,30,106,88.7328
George Vincent,17,65,53.4397
Jacob Olson,16,82,52.1572
James Sandoval,28,67,79.9805
James Barber,24,72,76.1092
James Morgan,16,49,48.7215
Jeffrey Harris,20,70,61.0577
Jeremy Rodriguez,25,65,72.8879
Jimmy Kennedy,23,80,78.7963
John Martinez,25,78,71.1044
John Conner,20,69,63.9435
Jonathan Nelson,25,68,73.2215
Joshua Turner,30,88,90.0949
Justin Warren,19,79,64.2119
Justin Rocha,27,96,76.4945
Kevin Wallace,26,82,92.9015
Kyle Daniels,17,47,49.5806
Kyle Maddox,28,67,87.4735
Mario Watkins,15,56,42.5454
Mark Clark,24,60,69.4034
Mark Johnson,27,70,88.616
Mark Navarro,14,60,54.1445
Matthew Boyd,23,87,75.9113
Matthew Meadows,27,110,92.7668
Michael Hamilton,22,68,73.7603
Michael Wall,26,84,82.7813
Michael Rasmussen,10,39,26.2692
Mitchell Callahan,25,83,84.6528
Noah Rhodes,29,72,83.9437
Randall Richardson,23,66,82.2912
Ricky Powell,27,64,87.7506
Ronald Donovan,12,40,34.3534
Russell Pierce,14,40,41.6627
Ryan Clark,14,55,43.802
Scott Kennedy,12,27,33.3346
Steven Miller,11,42,39.378
Thomas Gray,19,64,61.7944
Timothy Saunders,17,48,57.0278
Timothy Adkins,16,50,50.7816
