game_id,week,home_team,away_team,went_ot,home_shots,away_shots,home_xg,away_xg,home_max_xg,away_max_xg,home_goals,away_goals,home_assists,away_assists,home_penalties_committed,away_penalties_committed,home_penalties_drawn,away_penalties_drawn,home_penalty_minutes,away_penalty_minutes,home_pp_opportunities,away_pp_opportunities,home_pp_minutes,away_pp_minutes,home_pp_goals,away_pp_goals,home_pp_xg,away_pp_xg
1,1,Czech Republic,Finland,0,21,24,2.8231,2.7516,0.191,0.2166,1,3,2,6,8,6,6,8,16,12,6,8,12,16,0,1,1.2396,1.4645
2,1,Croatia,China,1,31,27,3.4075,3.0509,0.2158,0.1853,3,2,4,4,9,6,6,9,18,12,6,9,12,18,1,1,0.9477,1.2812
3,1,Kazakhstan,Japan,1,42,26,4.8049,2.3901,0.2366,0.1502,4,3,6,6,6,12,12,6,12,24,12,6,24,12,1,0,2.1788,0.68
4,1,Slovakia,Switzerland,0,19,16,1.6322,1.6166,0.1457,0.1411,0,1,0,2,6,5,5,6,12,10,5,6,10,12,0,0,0.2572,0.1375
5,1,Romania,Austria,0,32,42,3.1535,4.7456,0.1555,0.2121,4,1,7,1,9,6,6,9,18,12,6,9,12,18,2,1,1.0604,1.9532
6,1,Estonia,Hungary,1,26,30,2.8807,3.5877,0.1667,0.2205,4,5,6,10,5,4,4,5,10,8,4,5,8,10,1,4,1.1948,1.1493
7,1,Denmark,United States,1,27,23,2.9504,2.5971,0.1869,0.1562,4,5,6,8,7,7,7,7,14,14,7,7,14,14,3,2,1.0864,1.133
8,1,Latvia,Spain,0,28,27,3.2329,2.7965,0.1654,0.1622,3,4,6,5,5,4,4,5,10,8,4,5,8,10,1,1,0.6507,1.2418
9,1,Belarus,Lithuania,0,24,21,2.3195,2.0778,0.1608,0.1664,3,1,4,2,3,5,5,3,6,10,5,3,10,6,3,1,0.7494,0.3951
10,1,Ukraine,Belgium,0,20,30,1.9254,3.3189,0.1275,0.2069,4,3,7,4,10,0,0,10,20,0,0,10,0,20,0,2,0,1.801
11,1,Great Britain,Canada,0,23,22,2.5171,2.2664,0.1694,0.15,5,1,9,2,2,6,6,2,4,12,6,2,12,4,2,1,0.6282,0.6001
12,1,Italy,Norway,0,19,34,2.1502,3.8328,0.217,0.2155,2,1,2,1,10,8,8,10,20,16,8,10,16,20,0,1,1.055,1.5188
13,1,Sweden,France,0,28,27,2.7187,3.2121,0.1584,0.2361,1,6,2,10,7,4,4,7,14,8,4,7,8,14,0,3,1.0876,1.2899
14,1,Poland,Slovenia,0,23,18,2.5179,1.8717,0.1628,0.1455,1,4,2,6,3,6,6,3,9,12,6,3,12,9,0,2,0.4697,0.71
15,1,South Korea,Germany,1,29,28,3.8033,2.9291,0.1572,0.1669,4,5,5,6,9,10,10,9,18,20,10,9,20,18,2,0,1.6707,0.4546
16,2,Czech Republic,Croatia,0,23,31,3.1379,4.1225,0.2354,0.2159,5,4,6,6,8,5,5,8,16,10,5,8,10,16,0,3,0.1541,2.4169
17,2,Italy,Kazakhstan,0,29,20,2.9396,2.1473,0.2312,0.1639,1,0,2,0,2,10,10,2,4,20,10,2,20,4,0,0,0.5894,0
